collection,trajectory,insight_id,classification,reason,text,evidence,source
original,1,I001,exclude,Greeting-only observation adds little beyond baseline assistant behavior.,"When an interaction begins without an actionable objective, asking the participant to state the desired work is an appropriate scope-preserving response; the trajectory provides no evidence about whether this prompt led to a substantive follow-up.","L001, L002",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-001.jsonl.oxygen-agents/summary/insight.md
original,2,I001,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Task-level benchmark logic can often be separated from a heavy training harness, but equivalence must be stated at the correct layer. This runner preserved prompts, loops, parsing, and rewards while changing orchestration, output format, and initially model routing; smoke tests established operability, not protocol equivalence.","L002, L003, L005, L006, L010",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-002.jsonl.oxygen-agents/summary/insight.md
original,2,I002,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","A broad compatibility override can silently collapse distinct experimental roles. When one environment variable replaced every requested model, the intervention changed the simulator, interaction partner, generator, and evaluator at once, making model rankings confounded even though all jobs completed successfully.","L033, L034, L035, L036, L037",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-002.jsonl.oxygen-agents/summary/insight.md
original,2,I003,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","The minimum valid rerun depends on where the changed component enters the causal path. HUMANUAL answers can be held fixed and rejudged because the judge runs after generation, whereas changing a SimArena assistant requires regenerating the conversation and document because assistant behavior shapes later simulator actions and every downstream score.","L036, L039, L042, L043, L051, L052",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-002.jsonl.oxygen-agents/summary/insight.md
original,2,I004,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Protocol corrections are easier to audit when outputs are immutable and every run records role-specific settings. Isolated run directories preserved the invalidated self-play evidence for comparison, while explicit assistant, generator, and judge parameters made the corrected wave inspectable at configuration, call-site, and request-transport levels.","L045, L046, L047, L049",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-002.jsonl.oxygen-agents/summary/insight.md
original,2,I005,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","One-episode API preflights detect deterministic access and schema failures but do not establish quota sufficiency for a full benchmark. Nemotron and ox-alpha passed end-to-end preflights yet failed during 800-item runs when daily request limits were reached, so launch validation should also estimate requests per episode and compare the total with provider quotas.","L012, L016, L018, L019",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-002.jsonl.oxygen-agents/summary/insight.md
original,2,I006,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","An overall mean can hide both protocol confounding and dataset weighting. Here HUMANUAL contributes 600 of 800 episodes, so similar overall scores can coexist with materially different HUMANUAL and SimArena behavior; model comparisons should report suite and task aggregates and only compare runs with the same role assignments.","L013, L015, L031, L032, L053",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-002.jsonl.oxygen-agents/summary/insight.md
original,2,I007,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Separating scheduler dependencies from API-capacity decisions allows a slow model to stop blocking unrelated providers. The agent first verified that the active job was error-free, then released only Gemini's dependency and later changed partitions without duplicating jobs or disturbing downstream ordering.","L020, L021, L022, L023, L024",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-002.jsonl.oxygen-agents/summary/insight.md
original,2,I008,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Dataset row counts must be interpreted together with provenance and evaluation purpose. The SOUL files contain conversation instances sampled from the full SimulatorArena human corpus, including repeated underlying problems or intents and heterogeneous assistant contexts; they are a different evaluation set from the 50/51 assistant-benchmark subset despite sharing the same source project.","L039, L052, L055, L056, L057",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-002.jsonl.oxygen-agents/summary/insight.md
original,2,I009,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","A reusable behavioral-analysis layer benefits from normalizing each task into shared episode concepts before aggregation. Converting distinct raw schemas into simulated-user turns, human-reference turns, and common token counts enabled the same metrics to scale from task to suite to model while preserving plugin points for later analyses.","L028, L029, L030, L031, L032",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-002.jsonl.oxygen-agents/summary/insight.md
original,3,I001,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Reusing task code does not preserve an evaluation protocol when a compatibility layer changes model-role routing. Auxiliary roles are part of the experimental condition: changing the assistant affects the generated interaction, changing the document generator affects an evaluated artifact, and changing the judge affects score calibration. A lightweight harness should therefore make role assignments explicit and validate them before producing model rankings.","L009, L026, L027, L028, L029, L030",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-003.jsonl.oxygen-agents/summary/insight.md
original,3,I002,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.",The cheapest valid correction depends on whether the benchmark is interactive. Reusing saved HUMANUAL target responses while replacing only the judge isolates much of the judge change because generation is single-turn. SimArena must regenerate the conversation when the assistant changes because later user actions depend on earlier assistant messages; rejudging an old trajectory cannot reconstruct that counterfactual interaction.,"L031, L034, L036, L037",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-003.jsonl.oxygen-agents/summary/insight.md
original,3,I003,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","A one-example preflight tests model authorization, schema compatibility, and basic request routing, but it does not establish capacity for a full evaluation. Nemotron and ox-alpha passed end-to-end preflights and then exhausted daily quotas after only 2 and 77 usable episodes. Preflight design for quota-limited endpoints should include an estimated requests-per-episode budget and compare the full-run requirement with account limits before submission.","L010, L011, L016, L017",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-003.jsonl.oxygen-agents/summary/insight.md
original,3,I004,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Separating credentials into independent execution lanes prevents accidental paid-key fallback and allows concurrent scheduling, but credential separation does not remove provider policy constraints. Access restrictions remained for Inkling under the dedicated key, and free-tier quotas still terminated other runs. Scheduling, credential routing, endpoint eligibility, and quota capacity require separate validation.","L015, L016, L017",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-003.jsonl.oxygen-agents/summary/insight.md
original,3,I005,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Using one fixed auxiliary assistant improves comparability among tested user simulators, yet it does not reproduce the environment of every human reference when rows were collected with nine different assistants. Because user behavior is conditioned on counterpart behavior, a fixed-assistant study and a row-provenance-matched study answer different questions. Reports should state which interaction environment is controlled and may benefit from stratification by the original assistant metadata.","L032, L033, L043, L047, L049",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-003.jsonl.oxygen-agents/summary/insight.md
original,3,I006,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","HUMANUAL's six scores are judge-inferred similarities, not direct accuracy against labeled stance, emotion, belief, value, goal, or communication states. The target and judge also receive asymmetric inputs: the target sees the persona, while the judge sees the reference response but not the persona. Evaluation claims should therefore be framed as the fixed judge's assessment of response-level latent-state alignment rather than independent attribute-ground-truth accuracy.","L041, L042, L050",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-003.jsonl.oxygen-agents/summary/insight.md
original,3,I007,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","An overall mean can obscure suite behavior when the sampling design weights one suite more heavily. Here, HUMANUAL supplies 600 of 800 episodes, so the combined score is 75% HUMANUAL by construction. Model-by-suite and per-task aggregates are necessary for interpreting differences that may reverse across HUMANUAL and SimArena.","L046, L024, L025",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-003.jsonl.oxygen-agents/summary/insight.md
original,3,I008,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Dataset size must be interpreted using the sampling unit and evaluated role. The SOUL adaptation contains 100 conversation records per SimArena task, including repeated problems, intents, or workers, while the 50/51 subsets belong to an assistant-evaluation protocol. Counting rows as unique questions or applying the assistant-benchmark size to a user-simulator study would misstate both coverage and protocol; unresolved subset-selection provenance should remain explicit.","L047, L048, L049",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-003.jsonl.oxygen-agents/summary/insight.md
original,3,I009,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Role-specific configuration and route tests establish which model identifier the client requested, but full auditability also requires recording the provider-returned model identifier. Persisting both requested and returned model values would allow later detection of aliases, fallbacks, or backend substitutions without relying only on configuration metadata.","L033, L036, L037, L040",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-003.jsonl.oxygen-agents/summary/insight.md
original,3,I010,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","A reusable multi-benchmark analyzer benefits from a normalization layer before metric computation. Converting different message conventions and ground-truth shapes into a common episode representation allowed one shared tokenizer, paired human comparisons, suite aggregation, and external metric plugins to operate across single-turn HUMANUAL and multi-turn SimArena outputs.","L021, L022, L023, L024",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-003.jsonl.oxygen-agents/summary/insight.md
original,4,I001,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","For resumable Slurm evaluations, path resolution and output isolation are part of correctness. Resolving resources from the submission directory prevented the spool-path failure, and checking for an existing active or partial run before resubmission avoided duplicate evaluation state.","L005, L007, L008",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-004.jsonl.oxygen-agents/summary/insight.md
original,4,I002,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Single-example provider preflights can prevent large batches that will fail immediately because of model access policy, but they do not establish full-run feasibility under daily quotas. Batch planning for hosted free models therefore needs separate checks for route access and quota capacity.","L010, L014, L015",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-004.jsonl.oxygen-agents/summary/insight.md
original,4,I003,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Dependency chains are useful for limiting shared-endpoint concurrency, but scheduler conditions and observed endpoint health can justify selectively releasing a job from the chain. Preserving downstream dependencies while detaching only the ready job provides controlled parallelism without rebuilding the entire submission wave.","L011, L016, L017",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-004.jsonl.oxygen-agents/summary/insight.md
original,4,I004,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.",An overall score can conceal suite-specific reversals when one suite contributes most episodes. Reporting HUMANUAL and SimArena separately is necessary for model comparisons because the raw combined mean weights HUMANUAL at 75% and can obscure stronger SimArena performance.,"L012, L034",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-004.jsonl.oxygen-agents/summary/insight.md
